badge_id,sort_order,category,category_slug,tier,tier_rank,filename,src,ui_title,ui_subtitle,proof_label,tagline_key
running-bronze,1,Running,running,bronze,1,xionid-badge-running-bronze.webp,/badges/sport/xionid-badge-running-bronze.webp,Running Lifestyle Starter,Entry-level verified running lifestyle,Running starter proof,badges.running.bronze
running-silver,2,Running,running,silver,2,xionid-badge-running-silver.webp,/badges/sport/xionid-badge-running-silver.webp,Weekly Running Builder,Consistent weekly running habit,Weekly running proof,badges.running.silver
running-gold,3,Running,running,gold,3,xionid-badge-running-gold.webp,/badges/sport/xionid-badge-running-gold.webp,Progressive Running Signal,Clear progressive running signal and activity momentum,Progressive running proof,badges.running.gold
running-diamond,4,Running,running,diamond,4,xionid-badge-running-diamond.webp,/badges/sport/xionid-badge-running-diamond.webp,Running Discipline Proof,Strong verified running discipline,Running discipline proof,badges.running.diamond
running-elite,5,Running,running,elite,5,xionid-badge-running-elite.webp,/badges/sport/xionid-badge-running-elite.webp,Running Lifestyle Ambassador,Top-tier running identity and ambassador energy,Running ambassador proof,badges.running.elite
strength-bronze,6,Strength,strength,bronze,1,xionid-badge-strength-bronze.webp,/badges/sport/xionid-badge-strength-bronze.webp,Strength Lifestyle Starter,Entry-level verified strength lifestyle,Strength starter proof,badges.strength.bronze
strength-silver,7,Strength,strength,silver,2,xionid-badge-strength-silver.webp,/badges/sport/xionid-badge-strength-silver.webp,Weekly Strength Builder,Consistent weekly strength training habit,Weekly strength proof,badges.strength.silver
strength-gold,8,Strength,strength,gold,3,xionid-badge-strength-gold.webp,/badges/sport/xionid-badge-strength-gold.webp,Progressive Strength Signal,Clear progression in strength lifestyle,Progressive strength proof,badges.strength.gold
strength-diamond,9,Strength,strength,diamond,4,xionid-badge-strength-diamond.webp,/badges/sport/xionid-badge-strength-diamond.webp,Strength Discipline Proof,Strong verified discipline in strength training,Strength discipline proof,badges.strength.diamond
strength-elite,10,Strength,strength,elite,5,xionid-badge-strength-elite.webp,/badges/sport/xionid-badge-strength-elite.webp,Strength Lifestyle Ambassador,Top-tier strength lifestyle reputation,Strength ambassador proof,badges.strength.elite
cycling-bronze,11,Cycling,cycling,bronze,1,xionid-badge-cycling-bronze.webp,/badges/sport/xionid-badge-cycling-bronze.webp,Cycling Lifestyle Starter,Entry-level verified cycling lifestyle,Cycling starter proof,badges.cycling.bronze
cycling-silver,12,Cycling,cycling,silver,2,xionid-badge-cycling-silver.webp,/badges/sport/xionid-badge-cycling-silver.webp,Weekly Cycling Builder,Consistent cycling habit,Weekly cycling proof,badges.cycling.silver
cycling-gold,13,Cycling,cycling,gold,3,xionid-badge-cycling-gold.webp,/badges/sport/xionid-badge-cycling-gold.webp,Progressive Cycling Signal,Clear cycling momentum and progression,Progressive cycling proof,badges.cycling.gold
cycling-diamond,14,Cycling,cycling,diamond,4,xionid-badge-cycling-diamond.webp,/badges/sport/xionid-badge-cycling-diamond.webp,Cycling Discipline Proof,Strong verified cycling discipline,Cycling discipline proof,badges.cycling.diamond
cycling-elite,15,Cycling,cycling,elite,5,xionid-badge-cycling-elite.webp,/badges/sport/xionid-badge-cycling-elite.webp,Cycling Lifestyle Ambassador,Top-tier cycling identity,Cycling ambassador proof,badges.cycling.elite
swimming-bronze,16,Swimming,swimming,bronze,1,xionid-badge-swimming-bronze.webp,/badges/sport/xionid-badge-swimming-bronze.webp,Swimming Lifestyle Starter,Entry-level verified swimming lifestyle,Swimming starter proof,badges.swimming.bronze
swimming-silver,17,Swimming,swimming,silver,2,xionid-badge-swimming-silver.webp,/badges/sport/xionid-badge-swimming-silver.webp,Weekly Swimming Builder,Consistent swimming routine,Weekly swimming proof,badges.swimming.silver
swimming-gold,18,Swimming,swimming,gold,3,xionid-badge-swimming-gold.webp,/badges/sport/xionid-badge-swimming-gold.webp,Progressive Swimming Signal,Clear swimming progression,Progressive swimming proof,badges.swimming.gold
swimming-diamond,19,Swimming,swimming,diamond,4,xionid-badge-swimming-diamond.webp,/badges/sport/xionid-badge-swimming-diamond.webp,Swimming Discipline Proof,Strong verified swim discipline,Swimming discipline proof,badges.swimming.diamond
swimming-elite,20,Swimming,swimming,elite,5,xionid-badge-swimming-elite.webp,/badges/sport/xionid-badge-swimming-elite.webp,Swimming Lifestyle Ambassador,Top-tier swimming lifestyle reputation,Swimming ambassador proof,badges.swimming.elite
hybrid-bronze,21,Hybrid,hybrid,bronze,1,xionid-badge-hybrid-bronze.webp,/badges/sport/xionid-badge-hybrid-bronze.webp,Hybrid Lifestyle Starter,Entry-level hybrid athlete identity,Hybrid starter proof,badges.hybrid.bronze
hybrid-silver,22,Hybrid,hybrid,silver,2,xionid-badge-hybrid-silver.webp,/badges/sport/xionid-badge-hybrid-silver.webp,Multi-Sport Builder,Consistent hybrid training pattern,Multi-sport builder proof,badges.hybrid.silver
hybrid-gold,23,Hybrid,hybrid,gold,3,xionid-badge-hybrid-gold.webp,/badges/sport/xionid-badge-hybrid-gold.webp,Hybrid Performance Signal,Clear multi-sport progression,Hybrid performance proof,badges.hybrid.gold
hybrid-diamond,24,Hybrid,hybrid,diamond,4,xionid-badge-hybrid-diamond.webp,/badges/sport/xionid-badge-hybrid-diamond.webp,Hybrid Discipline Proof,Strong verified hybrid athlete discipline,Hybrid discipline proof,badges.hybrid.diamond
hybrid-elite,25,Hybrid,hybrid,elite,5,xionid-badge-hybrid-elite.webp,/badges/sport/xionid-badge-hybrid-elite.webp,Hybrid Lifestyle Ambassador,Top-tier hybrid athlete identity,Hybrid ambassador proof,badges.hybrid.elite
marathon-events-bronze,26,Marathon / Events,marathon-events,bronze,1,xionid-badge-marathon-events-bronze.webp,/badges/sport/xionid-badge-marathon-events-bronze.webp,Marathon Lifestyle Starter,Entry-level marathon/events participation lifestyle,Marathon starter proof,badges.marathon-events.bronze
marathon-events-silver,27,Marathon / Events,marathon-events,silver,2,xionid-badge-marathon-events-silver.webp,/badges/sport/xionid-badge-marathon-events-silver.webp,Event Readiness Builder,Consistent event preparation and attendance,Event readiness proof,badges.marathon-events.silver
marathon-events-gold,28,Marathon / Events,marathon-events,gold,3,xionid-badge-marathon-events-gold.webp,/badges/sport/xionid-badge-marathon-events-gold.webp,Endurance Event Signal,Clear endurance event progression,Endurance event proof,badges.marathon-events.gold
marathon-events-diamond,29,Marathon / Events,marathon-events,diamond,4,xionid-badge-marathon-events-diamond.webp,/badges/sport/xionid-badge-marathon-events-diamond.webp,Event Discipline Proof,Strong verified discipline in event-based endurance lifestyle,Event discipline proof,badges.marathon-events.diamond
marathon-events-elite,30,Marathon / Events,marathon-events,elite,5,xionid-badge-marathon-events-elite.webp,/badges/sport/xionid-badge-marathon-events-elite.webp,Marathon Lifestyle Ambassador,Top-tier marathon/events ambassador identity,Marathon ambassador proof,badges.marathon-events.elite
recovery-bronze,31,Recovery,recovery,bronze,1,xionid-badge-recovery-bronze.webp,/badges/sport/xionid-badge-recovery-bronze.webp,Recovery Lifestyle Starter,Entry-level recovery-focused lifestyle,Recovery starter proof,badges.recovery.bronze
